N, x, y 
666, -9.33400000000037, -2.3328369225763916
667, -9.33300000000037, -2.3579419444911007
668, -9.33200000000037, -2.383033422795799
669, -9.33100000000037, -2.4081113381060995
670, -9.330000000000371, -2.4331756710600376
671, -9.329000000000372, -2.4582264023180898
672, -9.328000000000372, -2.4832635125631675
673, -9.327000000000373, -2.5082869825006435
674, -9.326000000000374, -2.5332967928583363
675, -9.325000000000374, -2.5582929243865484
676, -9.324000000000375, -2.5832753578580463
677, -9.323000000000375, -2.6082440740680846
678, -9.322000000000376, -2.6331990538344128
679, -9.321000000000376, -2.658140277997278
680, -9.320000000000377, -2.6830677274194352
681, -9.319000000000377, -2.7079813829861603
682, -9.318000000000378, -2.7328812256052486
683, -9.317000000000379, -2.7577672362070342
684, -9.316000000000379, -2.7826393957443925
685, -9.31500000000038, -2.8074976851927356
686, -9.31400000000038, -2.8323420855500485
687, -9.31300000000038, -2.8571725778368724
